Responsibilities,Role,UNIQUE ID,Role Person,Avg_SkillScore,Cluster,NO,ROLE,LAMA KERJA BERJALAN,GRADE,Durasi Bulan,"Technical Score (29,06%)","Personal Evaluation Score (49,17%)","Discipline Score (15,06%)",Development Score (7%),Expert Judgement,Capability Score,scoring_eval,job_count,d,finalscore,finalscore_scaled
Analyze structured and unstructured data,Data Scientist,4d57b04b,Data Scientist,2.95,0,20,DATA SCIENTIST,3 tahun 11 bulan,MIDDLE,47,60.9976657327,96.5,91.31944444,1.268481508,1.1,78.63807432,78.63807432,0.0,43.0646793896,51.677615267520004,0.6545886998481191
Analyze structured and unstructured data,Data Scientist,516J6855,Data Scientist,2.9,0,46,DATA SCIENTIST,2 tahun 5 bulan,JUNIOR,29,54.7360673438,80.0,96.96180556,11.10881594,1.0,63.41641108,63.41641108,1.0,34.9736978724,41.96843744688,0.4069469587011803
Analyze structured and unstructured data,Data Scientist,528f3560,Data Analyst,2.35,2,55,DATA SCIENTIST,7 tahun 0 bulan,SENIOR,84,32.3536327033,90.0,94.11764706,44.61622935,1.0,64.269703,64.269703,0.0,35.16744259000001,35.16744259000001,0.23348116798213478
Analyze structured and unstructured data,Data Scientist,528f3560,Data Analyst,2.35,2,55,DATA SCIENTIST,7 tahun 0 bulan,SENIOR,84,32.3536327033,90.0,94.11764706,44.61622935,1.0,64.269703,64.269703,0.0,35.16744259000001,35.16744259000001,0.23348116798213478
Analyze structured and unstructured data,Data Scientist,5312eea4,Data Analyst,2.8,3,84,DATA ANALYST,2 tahun 2 bulan,MIDDLE,26,49.7969187675,86.0,92.79513889,46.9198146,1.0,70.0469465,70.0469465,2.0,38.440881645000005,38.440881645000005,0.31697331964458664
Analyze structured and unstructured data,Data Scientist,544a3d1a,Data Scientist,3.25,0,62,DATA SCIENTIST,4 tahun 2 bulan,MIDDLE,50,59.509354575,90.5,100.0,7.234474611,1.0,69.58669591,69.58669591,15.0,38.40844883230001,46.090138598760014,0.5120748354992619
Analyze structured and unstructured data,Data Scientist,54b0fc4f,Data Analyst,4.2,1,89,DATA ANALYST,2 tahun 2 bulan,MIDDLE,26,71.3084967321,88.5,98.61111111,6.180876807,1.0,71.78045298,71.78045298,3.0,40.0176400794,40.0176400794,0.35719003122163323
Analyze structured and unstructured data,Data Scientist,557e30ab,Data Analyst,2.3,2,29,DATA ANALYST,3 tahun 5 bulan,MIDDLE,41,53.7861081933,85.0,100.0,4.549017204,1.0,64.81437318,64.81437318,2.0,35.432617785400005,35.432617785400005,0.2402447115396784
Analyze structured and unstructured data,Data Scientist,55b2e646,Data Scientist,3.75,1,57,AI ENGINEER,3 tahun 0 bulan,JUNIOR,36,50.15589986,90.0,100.0,0.871158899,1.3,85.36316737,85.36316737,0.0,47.004978706100005,56.405974447320006,0.7751899620440357
Analyze structured and unstructured data,Data Scientist,57635c17,Data Analyst,1.9,2,12,DATA ANALYST,3 tahun 3 bulan,MIDDLE,39,67.5095967558,90.0,99.21875,6.039999292,1.0,71.43352597,71.43352597,4.0,38.752768764100004,38.752768764100004,0.3249282948898681
Analyze structured and unstructured data,Data Scientist,57ecf7ad,Data Analyst,1.0,2,27,MGT,5 tahun 1 bulan,-,61,3.4722222221,90.0,77.54010695,4.326516624,1.0,48.19519238,48.19519238,0.0,26.0134519614,26.0134519614,0.0
Analyze structured and unstructured data,Data Scientist,5b749bf9,Data Engineer,2.85,3,101,DATA ENGINEER,2 tahun 3 bulan,BASIC,27,34.81372549,90.0,86.63101604,10.06283501,1.2,70.83787239,70.83787239,3.0,38.8835723667,38.8835723667,0.3282645641903741
Analyze structured and unstructured data,Data Scientist,5d16d190,Data Scientist,3.5,0,99,DATA SCIENTIST,3 tahun 1 bulan,JUNIOR,37,62.2739437442,90.0,97.74305556,28.26078997,1.0,73.16053928,73.16053928,5.0,40.420085818400004,48.504102982080006,0.5736452747264893
Analyze structured and unstructured data,Data Scientist,5dc773ce,Artificial Intelligence Engineer,3.95,0,35,DATA SCIENTIST,4 tahun 4 bulan,MIDDLE,52,72.0571603642,91.0,95.57291667,5.121161842,1.1,80.15052819,80.15052819,0.0,44.3362799407,44.3362799407,0.4673410156196519
Analyze structured and unstructured data,Data Scientist,6131e4d7,Data Engineer,4.25,1,38,DATA ENGINEER,2 tahun 3 bulan,MIDDLE,27,58.5518732492,93.5,99.30555556,10.46636816,1.2,85.46875202,85.46875202,0.0,47.2959385706,47.2959385706,0.5428299014809148
Analyze structured and unstructured data,Data Scientist,64S57577,Data Scientist,4.4,1,40,DATA SCIENTIST,3 tahun 9 bulan,MIDDLE,45,73.6180643087,84.5,89.32291667,3.982774045,1.0,69.5311892,69.5311892,9.0,38.919530276,46.7034363312,0.5277175728255927
Analyze structured and unstructured data,Data Scientist,65054asd,Data Analyst,2.75,2,10,DATA ANALYST,3 tahun 4 bulan,JUNIOR,40,70.5590744629,99.0,0.0,4.917061944,1.0,73.99273476,73.99273476,2.0,40.5086494228,40.5086494228,0.36971368780360475
Analyze structured and unstructured data,Data Scientist,66d21701,Data Analyst,4.1,0,33,DATA ANALYST,4 tahun 3 bulan,JUNIOR,51,63.8499212188,81.5,83.07291667,3.823402466,1.0,64.77440963,64.77440963,0.0,36.257437103899996,36.257437103899996,0.26128250649392765
Analyze structured and unstructured data,Data Scientist,6de6b041,Data Scientist,3.1578947368421053,3,16,DATA SCIENTIST,4 tahun 0 bulan,MIDDLE,48,59.6452497667,90.0,100.0,7.186353322,1.1,76.3103827,76.3103827,7.0,41.9287133573158,50.314456028778956,0.6198200372920843
Analyze structured and unstructured data,Data Scientist,6e0778a1,Data Scientist,3.45,0,92,DATA SCIENTIST,3 tahun 1 bulan,JUNIOR,37,54.5927141687,70.0,97.91666667,4.665283496,1.0,57.55075558,57.55075558,2.0,32.1234004574,38.54808054888,0.31970752883266557
Analyze structured and unstructured data,Data Scientist,6fb8c1a0,Data Scientist,3.6,3,75,DATA SCIENTIST,3 tahun 0 bulan,BASIC,36,61.1916404063,98.0,0.0,3.823402466,1.0,70.34689224,70.34689224,0.0,38.975852887200006,46.77102346464,0.5294414464339874
Analyze structured and unstructured data,Data Scientist,7176fcb0,Data Engineer,3.75,3,104,DATA ENGINEER,7 tahun 0 bulan,SENIOR,84,75.0633578433,80.0,33.82352941,7.122781583,1.2,79.20577781,79.20577781,10.0,43.7415622393,43.7415622393,0.4521721795156806
Analyze structured and unstructured data,Data Scientist,77571f19,Data Analyst,2.2,2,54,DATA ANALYST,3 tahun 1 bulan,JUNIOR,37,77.8103933242,100.0,100.0,5.536442394,1.0,79.32087607,79.32087607,0.0,43.074064317099996,43.074064317099996,0.43514701521040094
Analyze structured and unstructured data,Data Scientist,7L762383,Data Analyst,3.85,0,59,DATA ANALYST,1 tahun 10 bulan,MIDDLE,22,63.2588118579,88.5,94.96527778,2.554920958,1.0,68.65055253,68.65055253,0.0,38.1942928409,38.1942928409,0.31068383953383494
Analyze structured and unstructured data,Data Scientist,7b6d04c9,Data Analyst,3.35,3,2,DATA ANALYST,4 tahun 5 bulan,MIDDLE,53,73.2388159429,86.0,100.0,4.742239915,1.0,70.9884555,70.9884555,4.0,39.198381415,39.198381415,0.3362940659968086
Analyze structured and unstructured data,Data Scientist,7ba9df08,Data Analyst,4.15,0,25,DATA ANALYST,3 tahun 1 bulan,MIDDLE,37,56.631039916,92.5,96.35416667,0.0,1.2,82.079429,82.079429,0.0,45.45259737,45.45259737,0.49581374492499525
Analyze structured and unstructured data,Data Scientist,7d317bd2,Data Scientist,1.2,2,90,DATA ANALYST,4 tahun 4 bulan,JUNIOR,52,63.7458566762,86.5,86.37152778,3.794124597,1.0,67.4194445,67.4194445,6.0,36.296305585,43.555566702,0.44742818784579724
Analyze structured and unstructured data,Data Scientist,7dc30989,Data Scientist,3.75,1,73,DATA SCIENTIST,3 tahun 4 bulan,JUNIOR,40,92.1873832863,90.0,0.0,8.045322081,1.0,76.69106422,76.69106422,4.0,42.408764036600004,50.890516843920004,0.6345130119088218
Analyze structured and unstructured data,Data Scientist,7fe7bd2c,Data Scientist,3.35,0,65,DATA SCIENTIST,2 tahun 2 bulan,JUNIOR,26,39.5228291321,89.5,99.30555556,6.121971713,1.0,63.07245784,63.07245784,5.0,35.0029026552,42.003483186240004,0.4078408333500144
Analyze structured and unstructured data,Data Scientist,8126543f,Data Scientist,3.2,0,85,DATA SCIENTIST,3 tahun 1 bulan,JUNIOR,37,63.1813433708,90.0,99.30555556,6.700326893,1.0,70.28096361,70.28096361,0.0,38.7529107133,46.50349285596,0.5226178258383508
Analyze structured and unstructured data,Data Scientist,8387045b,Data Scientist,4.0,1,69,DATA SCIENTIST,4 tahun 4 bulan,MIDDLE,52,85.768554505,94.0,98.61111111,53.90204421,1.2,99.0,99.0,10.0,54.35000000000001,65.22000000000001,1.0
Analyze structured and unstructured data,Data Scientist,859bd42e,Data Scientist,3.8,0,95,DATA SCIENTIST,3 tahun 5 bulan,JUNIOR,41,91.9510387488,95.0,100.0,9.232623263,1.0,81.52852324,81.52852324,1.0,44.9961173172,53.99534078064,0.7137044758873186
Analyze structured and unstructured data,Data Scientist,85e8c8f1,Data Scientist,4.15,0,105,DATA SCIENTIST,2 tahun 9 bulan,JUNIOR,33,86.9119456117,93.0,100.0,3.409887033,1.1,86.02380765,86.02380765,0.0,47.5431180545,57.051741665399994,0.7916608642373175
Analyze structured and unstructured data,Data Scientist,8K760816,Data Analyst,3.4,0,15,DATA ANALYST,2 tahun 8 bulan,MIDDLE,32,52.4918446546,98.5,100.0,3.455357726,1.0,70.91183125,70.91183125,8.0,39.1812705625,39.1812705625,0.3358576375593152
Analyze structured and unstructured data,Data Scientist,9ab9d681,Data Scientist,3.95,1,18,DATA SCIENTIST,3 tahun 0 bulan,MIDDLE,36,31.3339898458,92.0,100.0,52.63227356,1.0,68.97507879,68.97507879,3.0,38.4132917587,46.09595011043999,0.5122230635879541
Analyze structured and unstructured data,Data Scientist,a016ffe0,Data Scientist,4.1,1,26,DATA SCIENTIST,3 tahun 1 bulan,MIDDLE,37,82.0345763308,64.0,34.49197861,6.239432544,1.2,71.75887324,71.75887324,3.0,39.9592028172,47.95104338064,0.5595389677673686
Analyze structured and unstructured data,Data Scientist,a20ce132,Data Analyst,4.65,1,22,DATA ANALYST,2 tahun 9 bulan,MIDDLE,33,84.2864145654,95.0,98.61111111,10.2440888,1.2,95.23244671,95.23244671,0.0,52.6586967563,52.6586967563,0.6796121088922944
Analyze structured and unstructured data,Data Scientist,a77b4e68,Data Scientist,2.3,2,80,MGT,2 tahun 5 bulan,-,29,80.6774626521,90.0,100.0,29.57650728,1.0,78.85832029,78.85832029,0.0,42.8759097537,51.451091704439996,0.6488110026415965
Analyze structured and unstructured data,Data Scientist,a9fcd0c5,Data Analyst,2.85,2,23,DATA ANALYST,2 tahun 1 bulan,MIDDLE,25,86.9994864617,91.5,100.0,7.075545771,1.1,85.847875,85.847875,9.0,46.838873750000005,46.838873750000005,0.5311720319803915
Analyze structured and unstructured data,Data Scientist,ae73e946,Data Analyst,2.2,2,72,DATA SCIENTIST,3 tahun 5 bulan,JUNIOR,41,83.7572654062,85.0,97.91666667,10.90515878,1.0,74.34235311,74.34235311,7.0,40.43544714830001,40.43544714830001,0.3678465947244609
Analyze structured and unstructured data,Data Scientist,afb96c1d,Data Analyst,3.3,0,19,DATA ANALYST,2 tahun 8 bulan,JUNIOR,32,77.4700746967,84.5,100.0,6.630101873,1.0,71.7649257,71.7649257,2.0,39.586410621000006,39.586410621000006,0.34619111701027655
Analyze structured and unstructured data,Data Scientist,aff5a1f7,Data Engineer,4.05,3,96,DATA ENGINEER,2 tahun 7 bulan,JUNIOR,31,69.9306139125,90.0,98.61111111,7.174163182,1.2,86.72069722,86.72069722,0.0,47.86546952660001,47.86546952660001,0.5573563258791885
Analyze structured and unstructured data,Data Scientist,b0519d51,Data Scientist,3.4,0,43,DATA SCIENTIST,4 tahun 1 bulan,JUNIOR,49,66.8638392858,92.0,99.30555556,4.723839233,1.1,79.24054742,79.24054742,0.0,43.5954901326,52.31458815912,0.6708352944468804
Analyze structured and unstructured data,Data Scientist,b7ddf289,Artificial Intelligence Engineer,3.55,1,44,DATA SCIENTIST,1 tahun 2 bulan,JUNIOR,14,78.282819795,95.0,100.0,11.82325385,1.0,77.94660283,77.94660283,9.0,42.9801994999,42.9801994999,0.4327529044841115
Analyze structured and unstructured data,Data Scientist,be2d891b,Data Scientist,4.3,1,14,AI ENGINEER,2 tahun 3 bulan,JUNIOR,27,70.2197654063,95.0,0.0,0.33375087,1.3,92.33751534,92.33751534,3.0,50.9598831302,61.15185975623999,0.8962382446994616
Analyze structured and unstructured data,Data Scientist,beb45f59,Data Analyst,3.3,2,68,DATA ANALYST,3 tahun 4 bulan,MIDDLE,40,86.1330823996,80.0,98.61111111,6.436879162,1.0,71.94756403,71.94756403,2.0,39.6832089359,39.6832089359,0.34866004936322664
Analyze structured and unstructured data,Data Scientist,c0b0190c,Data Analyst,4.15,1,17,DATA SCIENTIST,6 tahun 5 bulan,MIDDLE,77,29.2835988563,84.0,22.19251337,4.068139436,1.0,53.16264673,53.16264673,29.0,30.126702766900003,30.126702766900003,0.10491234274056425
Analyze structured and unstructured data,Data Scientist,c13b7f6c,Data Analyst,2.35,2,34,DATA ANALYST,3 tahun 1 bulan,MIDDLE,37,87.4991246496,90.0,100.0,12.60600857,1.0,78.2842696,78.2842696,8.0,42.595162888000004,42.595162888000004,0.4229321824067453
Analyze structured and unstructured data,Data Scientist,c4acf473,Data Analyst,4.0,3,107,DATA ANALYST,2 tahun 9 bulan,JUNIOR,33,79.9589169,86.5,93.31597222,0.0,1.0,72.02498398,72.02498398,0.0,40.0532415094,40.0532415094,0.35809807928454734
Analyze structured and unstructured data,Data Scientist,c5c364b3,Data Analyst,3.7,0,60,DATA ANALYST,1 tahun 1 bulan,JUNIOR,13,40.932846055,100.0,16.57754011,1.742317797,1.0,64.65542017,64.65542017,0.0,36.0063726901,36.0063726901,0.25487887173493756
Analyze structured and unstructured data,Data Scientist,c615b19e,Data Engineer,3.95,3,63,DATA SCIENTIST,4 tahun 4 bulan,JUNIOR,52,71.0338060221,88.0,96.52777778,3.953496176,1.0,70.97960925,70.97960925,9.0,39.47569290249999,39.47569290249999,0.34336715713523197
Analyze structured and unstructured data,Data Scientist,ccc8525a,Data Scientist,3.5,1,47,DATA SCIENTIST,1 tahun 0 bulan,BASIC,12,75.7084500467,90.0,0.0,0.0,1.0,70.11863666,70.11863666,16.0,38.80787742980001,46.56945291576001,0.5243001993983764
Analyze structured and unstructured data,Data Scientist,cdb6bf28,Artificial Intelligence Engineer,4.35,1,6,AI ENGINEER,7 tahun 1 bulan,MIDDLE,85,81.6822187204,91.0,0.0,3.667866596,1.3,95.09100733,95.09100733,14.0,52.4427338849,52.4427338849,0.6741037720913248
Analyze structured and unstructured data,Data Scientist,cf9338b5,Data Scientist,2.95,0,74,DATA SCIENTIST,1 tahun 0 bulan,BASIC,12,82.0043154762,90.0,35.29411765,3.321482848,1.0,72.67275856,72.67275856,8.0,39.9030620368,47.88367444416,0.5578206594783125
Analyze structured and unstructured data,Data Scientist,d08b974d,Data Analyst,2.9,0,86,DATA ANALYST,2 tahun 9 bulan,MIDDLE,33,58.8772058825,93.5,97.91666667,0.871158899,1.0,69.7799626,69.7799626,0.0,38.346380178000004,38.346380178000004,0.31456297056445437
Analyze structured and unstructured data,Data Scientist,d8c9672c,Data Analyst,3.95,1,82,DATA ANALYST,2 tahun 4 bulan,MIDDLE,28,73.7417775442,90.5,95.05208333,9.595209262,1.0,73.7469197,73.7469197,0.0,40.942367441,40.942367441,0.38077607508067374
Analyze structured and unstructured data,Data Scientist,ecc200ca,Data Engineer,3.45,3,56,DATA ENGINEER,1 tahun 9 bulan,MIDDLE,21,71.0850840338,89.0,99.30555556,5.758942974,1.2,86.333236,86.333236,2.0,47.37811508,47.37811508,0.5449258908885795
Analyze structured and unstructured data,Data Scientist,eed0f189,Data Analyst,3.2,3,45,DATA ANALYST,2 tahun 10 bulan,MIDDLE,34,69.240079365,96.0,70.49910873,48.01347408,1.0,79.53001534,79.53001534,4.0,43.654908130200006,43.654908130200006,0.4499619847029498
Analyze structured and unstructured data,Data Scientist,f007ee36,Artificial Intelligence Engineer,3.25,0,70,AI ENGINEER,2 tahun 0 bulan,MIDDLE,24,40.1500350142,90.0,99.30555556,2.332863117,1.3,81.80872206,81.80872206,2.0,44.8861226918,44.8861226918,0.4813652737756788
Analyze structured and unstructured data,Data Scientist,f2f08a05,Data Engineer,2.9,3,94,DATA ENGINEER,2 tahun 5 bulan,JUNIOR,29,59.4675711954,87.0,99.30555556,7.027424482,1.2,81.33092925,81.33092925,1.0,44.4683925025,44.4683925025,0.470710671159587
Analyze structured and unstructured data,Data Scientist,f6f88029,Data Analyst,1.35,2,100,MGT,4 tahun 3 bulan,-,51,4.3391106446,90.0,78.20855615,6.010278684,1.0,48.76020407,48.76020407,0.0,26.4774081571,26.4774081571,0.011833640524619028
Analyze structured and unstructured data,Data Scientist,fbc7621c,Data Scientist,3.4,0,93,DATA SCIENTIST,8 tahun 6 bulan,MIDDLE,102,58.3732609713,75.0,100.0,12.17940809,1.0,62.37965806,62.37965806,0.0,34.6592187718,41.591062526159995,0.3973216552863408
Analyze structured and unstructured data,Data Scientist,ff56a859,Data Scientist,4.25,0,97,DATA SCIENTIST,4 tahun 3 bulan,JUNIOR,51,71.9907037817,89.5,95.83333333,11.98196147,1.0,73.15820762,73.15820762,3.0,40.771350038600005,48.925620046320006,0.5843964651609291
Automate data analysis workflows,Data Scientist,006bac9a,Data Analyst,2.8333333333333335,3,7,DATA ANALYST,2 tahun 5 bulan,JUNIOR,29,24.3446545288,90.0,100.0,10.68886874,1.0,59.64183706,59.64183706,2.0,32.941840308466666,32.941840308466666,0.17692717853222606
Automate data analysis workflows,Data Scientist,00c74be4,Data Scientist,2.5416666666666665,3,106,DATA SCIENTIST,5 tahun 10 bulan,MIDDLE,70,65.8296276846,90.0,70.58823529,2.714292537,1.0,67.48966658,67.48966658,9.0,36.96410662073334,44.356927944880006,0.468429205704791
Automate data analysis workflows,Data Scientist,01c8c0ef,Data Scientist,3.625,1,67,DATA SCIENTIST,2 tahun 2 bulan,SENIOR,26,77.0315563725,92.0,96.35416667,6.32783673,1.1,82.53917202,82.53917202,3.0,45.4495111706,54.539413404719994,0.7284548180995766
Automate data analysis workflows,Data Scientist,01d1846b,Data Analyst,2.3333333333333335,0,77,DATA ANALYST,4 tahun 3 bulan,JUNIOR,51,76.130287115,84.0,91.92708333,7.89858338,1.0,70.77981892,70.77981892,2.0,38.609970694266664,38.609970694266664,0.32167170878607015
Automate data analysis workflows,Data Scientist,03ad7f49,Data Scientist,1.6666666666666667,2,91,DATA SCIENTIST,3 tahun 4 bulan,JUNIOR,40,75.1958741829,90.0,0.0,4.519739335,1.0,70.74391915,70.74391915,2.0,38.27761048283333,45.933132579399995,0.5086800439669259
Automate data analysis workflows,Data Scientist,0514ff91,Data Scientist,2.0,0,37,DATA SCIENTIST,3 tahun 4 bulan,MIDDLE,40,75.6379551821,90.0,100.0,11.44256681,1.0,74.661971,74.661971,4.0,40.510844629999994,48.61301355599999,0.5771149751862139
